mlcq_repo,github_repo,commit_esperado,commit_clonado,junit,status,linhas_bytestsmells,linhas_byclasstest,segundos,detalhe
Esri/arcgis-runtime-samples-android,test-smells-arcgis-runtime-samples-android,22b9a4c99c82a75a128b64703c0c1ffb2f9f5293,22b9a4c99c82a75a128b64703c0c1ffb2f9f5293,JUnit4,OK,0,0,70,
Shopify/graphql_java_gen,test-smells-graphql_java_gen,ce1e7c8ab2f0d4a61fe47e7308d6226a11d85627,ce1e7c8ab2f0d4a61fe47e7308d6226a11d85627,JUnit4,OK,14,3,22,
Esri/arcgis-runtime-samples-java,test-smells-arcgis-runtime-samples-java,c7a0b309586495ff9cc9dbed129e411943547793,c7a0b309586495ff9cc9dbed129e411943547793,JUnit4,OK,0,0,125,
Esri/defense-solutions-proofs-of-concept,test-smells-defense-solutions-proofs-of-concept,107e74c00bf433948b6579092815858a4ffb7c08,107e74c00bf433948b6579092815858a4ffb7c08,JUnit4,OK,36,15,273,
Esri/geometry-api-java,test-smells-geometry-api-java,494da8ec953d76e7c6072afbc081abfe48ff07cf,494da8ec953d76e7c6072afbc081abfe48ff07cf,JUnit4,OK,5701,56,27,
Esri/geoportal-server-harvester,test-smells-geoportal-server-harvester,b8c69260e3d6ec10df6514c201219e690cfba048,b8c69260e3d6ec10df6514c201219e690cfba048,JUnit4,OK,25,6,26,
Esri/maps-app-android,test-smells-maps-app-android,1af1f74ece08f678ce7de7bf173034d30e1cb100,1af1f74ece08f678ce7de7bf173034d30e1cb100,JUnit3,OK,23,1,37,
Esri/spatial-framework-for-hadoop,test-smells-spatial-framework-for-hadoop,00959d6b4465313c934aaa8aaf17b52d6c9c60d4,00959d6b4465313c934aaa8aaf17b52d6c9c60d4,JUnit4,OK,368,19,21,
IBM/ibm-cos-sdk-java,test-smells-ibm-cos-sdk-java,d6b03864c15c622ce439e39f20ab41a77dc1cc83,d6b03864c15c622ce439e39f20ab41a77dc1cc83,JUnit4,OK,2530,179,24,
IBM/janusgraph-utils,test-smells-janusgraph-utils,b4584a3cbeec49f0df14d364aeb03976f5d5ca19,b4584a3cbeec49f0df14d364aeb03976f5d5ca19,JUnit4,OK,0,0,21,
IBM/og,test-smells-og,d14c20da246c237e417a948bda9f045f64cdd62c,d14c20da246c237e417a948bda9f045f64cdd62c,JUnit4,OK,809,57,23,
Microsoft/ApplicationInsights-Java,test-smells-ApplicationInsights-Java,230ed8807bf3e8aa62093df0b426b7a9f704231e,230ed8807bf3e8aa62093df0b426b7a9f704231e,JUnit4,OK,1992,164,24,
Microsoft/azure-chat-for-java,test-smells-azure-chat-for-java,4456bea8830c5edf8c211db1d7816b849372d6ed,4456bea8830c5edf8c211db1d7816b849372d6ed,JUnit4,OK,0,0,22,
Microsoft/azure-maven-plugins,test-smells-azure-maven-plugins,d3e0b6fa0e00f38c04b622589a939fb3bae2227e,d3e0b6fa0e00f38c04b622589a939fb3bae2227e,JUnit4,OK,575,35,22,
Microsoft/azure-tools-for-java,test-smells-azure-tools-for-java,d121e8ac9cc3ab400e5b49c8b372280ae332f3fb,d121e8ac9cc3ab400e5b49c8b372280ae332f3fb,JUnit4,OK,184,23,35,
Microsoft/java-debug,test-smells-java-debug,5d5b39e63c986f4f4ebbed6fc039c0c4e81e3480,5d5b39e63c986f4f4ebbed6fc039c0c4e81e3480,JUnit4,OK,58,14,21,
Microsoft/malmo,test-smells-malmo,91b1a7a01ec0dd883f81a51048badac0398695f7,91b1a7a01ec0dd883f81a51048badac0398695f7,JUnit4,OK,0,0,22,
Microsoft/mssql-jdbc,test-smells-mssql-jdbc,84484edf7944de56749fd2648d0af2ffa2459b7a,84484edf7944de56749fd2648d0af2ffa2459b7a,JUnit5,OK,2274,82,23,
Microsoft/pai,test-smells-pai,43269e7e5c95bea21d0ffae2e16f3e87de4b29b9,43269e7e5c95bea21d0ffae2e16f3e87de4b29b9,JUnit4,OK,376,10,33,
Microsoft/project-rome,test-smells-project-rome,0bcfbd6e1a7e69ec5832740640d7fb9945a1125f,0bcfbd6e1a7e69ec5832740640d7fb9945a1125f,JUnit4,OK,2,2,92,
Microsoft/team-explorer-everywhere,test-smells-team-explorer-everywhere,89ab2a4847aec8ec2afdf36c3f6287dd03bd558d,89ab2a4847aec8ec2afdf36c3f6287dd03bd558d,JUnit4,OK,3127,85,43,
Microsoft/vso-httpclient-java,test-smells-vso-httpclient-java,7b6329238498d7ad1934243150f955bea594df37,7b6329238498d7ad1934243150f955bea594df37,JUnit4,OK,55,9,23,
SAP/SapMachine,test-smells-SapMachine,6e62561730c46dc5000c39665c43951832192ceb,6e62561730c46dc5000c39665c43951832192ceb,JUnit4,OK,27050,1381,236,
