github_repo,production_path,n_amostras,sample_ids,smells,estratos,sev_max,repo_status,n_testes,metodos,motivo_sem_ligacao
,/.mvn/wrapper/MavenWrapperDownloader.java,1,3711605,blob,disputado,1,SEM_REPO,0,,repo_indisponivel
,/ArgusCore/src/main/java/com/salesforce/dva/argus/entity/Trigger.java,1,7243958,blob,positivo_confiavel,3,SEM_REPO,0,,repo_indisponivel
,/ArgusCore/src/main/java/com/salesforce/dva/argus/service/metric/transform/IncludeTransform.java,1,7242039,data class,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/ArgusCore/src/main/java/com/salesforce/dva/argus/service/schema/ScopeAndMetricOnlySchemaRecordList.java,1,7244146,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/EmbeddedSocialClient/sdk/src/main/java/com/microsoft/embeddedsocial/fetcher/FriendlistFetcher.java,1,7135236,data class,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/EmbeddedSocialClient/sdk/src/main/java/com/microsoft/embeddedsocial/server/model/activity/ActivityFeedRequest.java,1,7134617,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/EmbeddedSocialClient/sdk/src/main/java/com/microsoft/embeddedsocial/ui/adapter/viewholder/UserHeaderViewHolder.java,1,7137862,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/SPR-12332/src/main/java/org/springframework/issues/config/AppInitializer.java,1,8214224,data class,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/SPR-14558/src/main/java/org/springframework/issues/config/HomeController.java,1,8213437,feature envy,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/SPR-16506/src/main/java/org/springframework/issues/config/Spr16506Initializer.java,1,8213293,data class,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/SPR-7915/src/main/java/org/springframework/bugs/autowiring/CandidateImpl.java,1,8212971,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/SPR-7943/src/main/java/org/springframework/samples/mvc/convert/MaskFormatAnnotationFormatterFactory.java,1,8212330,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/SPR-9209/src/main/java/spr9209/WebController.java,1,8212082,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/api/topology/src/main/java/org/apache/edgent/topology/plumbing/PlumbingStreams.java,1,4726345,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/applications/content/src/main/java/org/apache/ofbiz/content/ConvertTree.java,1,8695390,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/applications/content/src/main/java/org/apache/ofbiz/content/content/ContentSearchSession.java,1,8662937,feature envy,disputado,3,SEM_REPO,0,,repo_indisponivel
,/applications/order/src/main/java/org/apache/ofbiz/order/shoppingcart/ShoppingCart.java,1,8684961,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/applications/party/src/main/java/org/apache/ofbiz/party/contact/ContactMechWorker.java,1,8685299,long method,positivo_confiavel,2,SEM_REPO,0,,repo_indisponivel
,/axis-rt-core/src/main/java/org/apache/axis/client/Call.java,1,8158565,feature envy,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/axis-rt-core/src/main/java/org/apache/axis/message/MessageElement.java,1,8155972,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/axis-rt-core/src/main/java/org/apache/axis/wsdl/SkeletonImpl.java,1,8151887,blob,disputado,2,SEM_REPO,0,,repo_indisponivel
,/axis-rt-transport-jms/src/main/java/org/apache/axis/transport/jms/JMSEndpoint.java,1,8152579,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/axis-rt-transport-jms/src/main/java/org/apache/axis/transport/jms/SimpleJMSListener.java,1,8154696,feature envy,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/axis-rt-transport-jms/src/main/java/org/apache/axis/transport/jms/TopicConnector.java,1,8156464,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/batik-anim/src/main/java/org/apache/batik/anim/dom/SVGOMAnimatedRect.java,1,3988942,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/batik-anim/src/main/java/org/apache/batik/anim/timing/TimedElement.java,1,3992626,long method,disputado,1,SEM_REPO,0,,repo_indisponivel
,/batik-awt-util/src/main/java/org/apache/batik/ext/awt/geom/Polyline2D.java,1,4004665,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/batik-awt-util/src/main/java/org/apache/batik/ext/awt/image/rendered/FilterAsAlphaRed.java,1,3993831,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/batik-awt-util/src/main/java/org/apache/batik/ext/awt/image/rendered/TileCache.java,1,3993481,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/batik-bridge/src/main/java/org/apache/batik/bridge/RhinoInterpreterFactory.java,1,4010920,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/batik-bridge/src/main/java/org/apache/batik/bridge/SVGAnimationEngine.java,1,3998684,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/batik-css/src/main/java/org/apache/batik/css/dom/CSSOMSVGColor.java,1,4003009,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/batik-css/src/main/java/org/apache/batik/css/engine/value/svg/ShapeRenderingManager.java,1,4008191,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/batik-dom/src/main/java/org/apache/batik/dom/events/DOMTimeEvent.java,1,4002437,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/batik-extension/src/main/java/org/apache/batik/extension/svg/FlowRegionElement.java,1,3993530,data class,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/batik-gvt/src/main/java/org/apache/batik/gvt/filter/GraphicsNodeRable8Bit.java,1,4004762,blob,disputado,2,SEM_REPO,0,,repo_indisponivel
,/batik-svgbrowser/src/main/java/org/apache/batik/apps/svgbrowser/DOMViewer.java,1,4005583,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/bindings/src/main/java/org/apache/wss4j/binding/wsu10/TimestampType.java,1,6005399,data class,positivo_confiavel,2,SEM_REPO,0,,repo_indisponivel
,/blocks/cocoon-forms/cocoon-forms-impl/src/main/java/org/apache/cocoon/forms/transformation/EffectWidgetReplacingPipe.java,1,8224488,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/blocks/cocoon-forms/cocoon-forms-impl/src/main/java/org/apache/cocoon/forms/util/StringMessage.java,1,8224809,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/blocks/cocoon-poi/cocoon-poi-impl/src/main/java/org/apache/cocoon/components/elementprocessor/impl/poi/hssf/elements/EPCell.java,1,8240678,feature envy,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/blocks/cocoon-poi/cocoon-poi-impl/src/main/java/org/apache/cocoon/components/elementprocessor/impl/poi/hssf/elements/EP_HCenter.java,1,8236650,data class,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/blocks/cocoon-portal/cocoon-portal-api/src/main/java/org/apache/cocoon/portal/event/LayoutEvent.java,1,8232375,data class,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/blocks/cocoon-portal/cocoon-portal-impl/src/main/java/org/apache/cocoon/portal/services/aspects/support/BasicAspectContextImpl.java,1,8233737,data class,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/blocks/cocoon-portal/cocoon-portal-portlet-env/src/main/java/org/apache/cocoon/portlet/SettingsHelper.java,1,8229683,data class,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/blocks/cocoon-proxy/cocoon-proxy-impl/src/main/java/org/apache/cocoon/generation/GenericProxyGenerator.java,1,8232830,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/blocks/cocoon-scratchpad/cocoon-scratchpad-impl/src/main/java/org/apache/cocoon/acting/SectionCutterAction.java,1,8231971,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/blocks/cocoon-template/cocoon-template-impl/src/main/java/org/apache/cocoon/template/instruction/Call.java,1,8243636,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/blocks/cocoon-xsp/cocoon-xsp-impl/src/main/java/org/apache/cocoon/xsp/handler/ThreadSafeComponentHandler.java,1,8230505,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/bpel-compiler/src/main/java/org/apache/ode/bpel/compiler/wsdl/WSDLReaderImpl.java,1,5220265,blob,disputado,2,SEM_REPO,0,,repo_indisponivel
,/bpel-compiler/src/main/java/org/apache/ode/bpel/elang/xquery10/compiler/XQuery10ExpressionCompilerImpl.java,1,5220844,feature envy,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/bpel-nobj/src/main/java/org/apache/ode/bpel/obj/OAssign.java,1,5222671,data class,disputado,2,SEM_REPO,0,,repo_indisponivel
,/bpel-runtime/src/main/java/org/apache/ode/bpel/engine/migration/MigrationHandler.java,2,5218642|5223561,data class,disputado|negativo_confiavel,2,SEM_REPO,0,,repo_indisponivel
,/bpel-runtime/src/main/java/org/apache/ode/bpel/runtime/LinkFrame.java,1,5217747,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/buildSrc/src/main/java/com/linkedin/gradle/build/version/VersionPlugin.java,1,7074545,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/cache/src/main/java/org/apache/kylin/cache/memcached/KeyHookLookup.java,1,5164165,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/californium-core/src/main/java/org/eclipse/californium/core/network/config/NetworkConfig.java,1,6030681,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/californium-core/src/main/java/org/eclipse/californium/core/network/stack/congestioncontrol/BasicRto.java,1,6030541,feature envy,disputado,1,SEM_REPO,0,,repo_indisponivel
,/collection-plugins/httpclient4/src/main/java/com/springsource/insight/plugin/apache/http/hc4/HttpPlaceholderRequest.java,1,7528188,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/collection-plugins/jax-rs/src/main/java/com/springsource/insight/plugin/jaxrs/JaxrsEndPointAnalyzer.java,1,7527099,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/connectors/filenet/connector/src/main/java/org/apache/manifoldcf/crawler/connectors/filenet/FilenetConnector.java,1,5115838,blob,disputado,3,SEM_REPO,0,,repo_indisponivel
,/connectors/hdfs/connector/src/main/java/org/apache/manifoldcf/agents/output/hdfs/HDFSOutputConnector.java,2,5111193|5111196,blob|feature envy,disputado|negativo_confiavel,1,SEM_REPO,0,,repo_indisponivel
,/connectors/sharepoint/connector/src/main/java/org/apache/manifoldcf/authorities/authorities/sharepoint/SharePointADAuthority.java,1,5110869,feature envy,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/connectors/sharepoint/connector/src/main/java/org/apache/manifoldcf/crawler/connectors/sharepoint/SPSProxyHelper.java,1,5115119,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/connectors/webcrawler/connector/src/main/java/org/apache/manifoldcf/crawler/connectors/webcrawler/MetaParseState.java,1,5123754,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/connectors/webcrawler/connector/src/main/java/org/apache/manifoldcf/crawler/connectors/webcrawler/WebcrawlerConnector.java,1,5124033,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/storage/PigStorageSchema.java,1,5399317,data class,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core-common/src/main/java/org/apache/kylin/common/persistence/JDBCResourceStore.java,1,5182985,long method,disputado,1,SEM_REPO,0,,repo_indisponivel
,/core-dictionary/src/main/java/org/apache/kylin/dict/TrieDictionaryForestBuilder.java,1,5161069,data class,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core-job/src/main/java/org/apache/kylin/job/impl/threadpool/DistributedScheduler.java,1,5162987,data class,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core-metadata/src/main/java/org/apache/kylin/metadata/model/ColumnDesc.java,1,5173084,feature envy,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core-metadata/src/main/java/org/apache/kylin/source/datagen/ModelDataGenerator.java,1,5182713,blob,disputado,2,SEM_REPO,0,,repo_indisponivel
,/core-storage/src/main/java/org/apache/kylin/storage/gtrecord/GTCubeStorageQueryBase.java,1,5177811,feature envy,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core-storage/src/main/java/org/apache/kylin/storage/gtrecord/StorageResponseGTScatter.java,1,5161273,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/applib/src/main/java/org/apache/isis/schema/services/jaxb/JaxbServiceDefault.java,1,4830091,feature envy,disputado,2,SEM_REPO,0,,repo_indisponivel
,/core/cocoon-core/src/main/java/org/apache/cocoon/components/source/impl/CachingSource.java,1,8246323,feature envy,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/cocoon-core/src/main/java/org/apache/cocoon/environment/CocoonRunnable.java,1,8235560,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/generation/TraversableGenerator.java,1,8230789,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/cocoon-pipeline/cocoon-pipeline-components/src/main/java/org/apache/cocoon/transformation/LogTransformer.java,1,8230227,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/cocoon-pipeline/cocoon-pipeline-impl/src/main/java/org/apache/cocoon/transformation/AbstractSAXTransformer.java,1,8242801,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/cocoon-pipeline/cocoon-pipeline-impl/src/main/java/org/apache/cocoon/xml/dom/DomHelper.java,1,8244590,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/cocoon-sitemap/cocoon-sitemap-api/src/main/java/org/apache/cocoon/components/flow/WebContinuation.java,1,8231238,long method,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/cocoon-sitemap/cocoon-sitemap-impl/src/main/java/org/apache/cocoon/classloader/DefaultClassLoader.java,1,8241207,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/cocoon-sitemap/cocoon-sitemap-impl/src/main/java/org/apache/cocoon/components/treeprocessor/NullNode.java,1,8240066,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/cocoon-sitemap/cocoon-sitemap-impl/src/main/java/org/apache/cocoon/core/container/spring/avalon/AvalonServiceManager.java,1,8224255,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/integtestsupport/src/main/java/org/apache/isis/core/integtestsupport/components/AuthorizationManagerAllowAll.java,1,4839287,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/metamodel/src/main/java/org/apache/isis/core/metamodel/facets/actions/layout/HiddenFacetForActionLayoutAnnotation.java,1,4842851,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/metamodel/src/main/java/org/apache/isis/core/metamodel/facets/actions/layout/NamedFacetForActionLayoutAnnotation.java,1,4827311,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/metamodel/src/main/java/org/apache/isis/core/metamodel/facets/actions/layout/NamedFacetForActionXml.java,1,4827314,data class,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
,/core/metamodel/src/main/java/org/apache/isis/core/metamodel/facets/collections/clear/CollectionClearFacetViaClearMethod.java,1,4827886,blob,negativo_confiavel,0,SEM_REPO,0,,repo_indisponivel
