github_repo,production_path,test_path,evidencia
test-smell-canal,/dbsync/src/main/java/com/taobao/tddl/dbsync/binlog/LogBuffer.java,/dbsync/src/test/java/com/taobao/tddl/dbsync/binlog/LogBufferTest.java,mesmo_pacote
test-smell-canal,/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java,/filter/src/test/java/com/alibaba/otter/canal/filter/AviaterFilterTest.java,import_fqn
test-smell-canal,/protocol/src/main/java/com/alibaba/otter/canal/protocol/ClientIdentity.java,/meta/src/test/java/com/alibaba/otter/canal/meta/AbstractMetaManagerTest.java,import_fqn
test-smell-canal,/protocol/src/main/java/com/alibaba/otter/canal/protocol/ClientIdentity.java,/meta/src/test/java/com/alibaba/otter/canal/meta/FileMixedMetaManagerTest.java,import_fqn
test-smell-canal,/protocol/src/main/java/com/alibaba/otter/canal/protocol/ClientIdentity.java,/meta/src/test/java/com/alibaba/otter/canal/meta/MixedMetaManagerTest.java,import_fqn
test-smell-canal,/protocol/src/main/java/com/alibaba/otter/canal/protocol/ClientIdentity.java,/meta/src/test/java/com/alibaba/otter/canal/meta/PeriodMixedMetaManagerTest.java,import_fqn
test-smell-canal,/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java,/parse/src/test/java/com/alibaba/otter/canal/parse/inbound/EventTransactionBufferTest.java,import_fqn
test-smell-canal,/protocol/src/main/java/com/alibaba/otter/canal/protocol/CanalEntry.java,/parse/src/test/java/com/alibaba/otter/canal/parse/inbound/mysql/RdsBinlogEventParserProxyTest.java,import_fqn
test-smell-canal,/protocol/src/main/java/com/alibaba/otter/canal/protocol/ClientIdentity.java,/parse/src/test/java/com/alibaba/otter/canal/parse/index/MetaLogPositionManagerTest.java,import_fqn
test-smell-canal,/protocol/src/main/java/com/alibaba/otter/canal/protocol/ClientIdentity.java,/server/src/test/java/com/alibaba/otter/canal/server/BaseCanalServerWithEmbededTest.java,import_fqn
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/acl/src/test/java/org/apache/rocketmq/acl/plain/PlainAccessValidatorTest.java,import_fqn
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/acl/src/test/java/org/apache/rocketmq/acl/plain/PlainPermissionLoaderTest.java,import_fqn
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/broker/src/test/java/org/apache/rocketmq/broker/BrokerControllerTest.java,import_fqn
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/broker/src/test/java/org/apache/rocketmq/broker/BrokerOuterAPITest.java,import_fqn
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/broker/src/test/java/org/apache/rocketmq/broker/filter/ConsumerFilterManagerTest.java,import_fqn
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/broker/src/test/java/org/apache/rocketmq/broker/filter/MessageStoreWithFilterTest.java,import_fqn
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/broker/src/test/java/org/apache/rocketmq/broker/processor/ClientManageProcessorTest.java,import_fqn
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/broker/src/test/java/org/apache/rocketmq/broker/processor/EndTransactionProcessorTest.java,import_fqn
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/broker/src/test/java/org/apache/rocketmq/broker/processor/PullMessageProcessorTest.java,import_fqn
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/broker/src/test/java/org/apache/rocketmq/broker/processor/SendMessageProcessorTest.java,import_fqn
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/client/src/test/java/org/apache/rocketmq/client/impl/MQClientAPIImplTest.java,import_fqn
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/common/src/test/java/org/apache/rocketmq/common/UtilAllTest.java,mesmo_pacote
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/namesrv/src/test/java/org/apache/rocketmq/namesrv/processor/ClusterTestRequestProcessorTest.java,import_fqn
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/namesrv/src/test/java/org/apache/rocketmq/namesrv/processor/DefaultRequestProcessorTest.java,import_fqn
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/remoting/src/test/java/org/apache/rocketmq/remoting/RemotingServerTest.java,import_fqn
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/remoting/src/test/java/org/apache/rocketmq/remoting/TlsTest.java,import_fqn
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/remoting/src/test/java/org/apache/rocketmq/remoting/netty/NettyRemotingAbstractTest.java,import_fqn
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/remoting/src/test/java/org/apache/rocketmq/remoting/protocol/RemotingCommandTest.java,mesmo_pacote
test-smellls-rocketmq,/remoting/src/main/java/org/apache/rocketmq/remoting/protocol/RemotingCommand.java,/remoting/src/test/java/org/apache/rocketmq/remoting/protocol/RocketMQSerializableTest.java,mesmo_pacote
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/store/src/test/java/org/apache/rocketmq/store/AppendCallbackTest.java,import_fqn
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/store/src/test/java/org/apache/rocketmq/store/BatchPutMessageTest.java,import_fqn
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/store/src/test/java/org/apache/rocketmq/store/ConsumeQueueExtTest.java,import_fqn
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/store/src/test/java/org/apache/rocketmq/store/ConsumeQueueTest.java,import_fqn
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/store/src/test/java/org/apache/rocketmq/store/DefaultMessageStoreCleanFilesTest.java,import_fqn
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/store/src/test/java/org/apache/rocketmq/store/DefaultMessageStoreShutDownTest.java,import_fqn
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/store/src/test/java/org/apache/rocketmq/store/DefaultMessageStoreTest.java,import_fqn
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/store/src/test/java/org/apache/rocketmq/store/HATest.java,import_fqn
test-smellls-rocketmq,/common/src/main/java/org/apache/rocketmq/common/UtilAll.java,/store/src/test/java/org/apache/rocketmq/store/MappedFileQueueTest.java,import_fqn
